id,artworks,cover,created_at,external_games,first_release_date,game_modes,genres,name,platforms,player_perspectives,release_dates,screenshots,similar_games,slug,summary,tags,updated_at,url,websites,checksum,language_supports,game_type,age_ratings,involved_companies,keywords,themes,version_parent,version_title,parent_game,alternative_names,game_engines,storyline,videos,game_localizations,collections,hypes,multiplayer_modes,status,game_status,bundles,franchises,rating,rating_count,total_rating,total_rating_count,dlcs
264153,[116230],330041.0,1693461725,"[2737674, 2737644]",1694736000,[1],[32],Chez Croggy,"[6, 14]",[2],"[513328, 513329]","[1130518, 1130512, 1130515, 1130516, 1130517]","[113895, 17350, 115850, 65827, 111043, 94741, 51591, 36269, 116582, 105233]",chez-croggy,"Chef Croggy, AKA Croggster, AKA Croggison, is on the trip of a lifetime! Get ready for a gruesome, and rage inducing experience as you run, jump, and push your way through the wacky physics and camera angles Chez Croggy has to offer.",[268435488],1760076621,https://www.igdb.com/games/chez-croggy,"[578173, 580733]",f42c889f-604d-9bad-e655-18356a0fb3d8,"[786063, 786066, 786064, 786065, 786067, 786068, 786069, 786070, 786071, 786072, 786073, 786074]",0,,,,,,,,,,,,,,,,,,,,,,,,
310526,[142758],401091.0,1721992761,"[2934999, 2938000]",1694736000,"[1, 2]","[4, 14, 31, 33]",Golf vs. Zombies,"[169, 48, 6, 167, 49, 130]",,"[622033, 622034, 622035, 622036, 624264, 627488, 627489]","[1369389, 1369390, 1369391, 1369392, 1369393]","[103369, 101608, 15851, 56033, 87622, 111130, 117533, 114145, 96217, 59858]",golf-vs-zombies--1,Golf VS Zombies is arcade golf with an RPG twist. Tee off and slay the undead!,"[1, 268435460, 268435470, 268435487, 268435489, 536870917, 536870942]",1747166494,https://www.igdb.com/games/golf-vs-zombies--1,"[657703, 766144, 657702]",474b452f-5c36-614d-39e7-e7f58aa9a0ea,"[1054557, 1069838, 1069839, 1069840, 1069841, 1069842, 1069843, 1069844, 1069845, 1069846]",0,"[183404, 183403, 183399, 182311, 183400, 183402, 183401]",[277964],"[5, 30]",[1],,,,,,,,,,,,,,,,,,,,
261539,,337625.0,1692069340,"[2731745, 2749668, 2749893, 2749949, 2879096]",1694736000,,,Persona 5 Royal: 1 More Edition,"[169, 167, 130]",,"[532852, 532853, 532854]","[1153838, 1153839, 1153840, 1153841, 1153842]",,persona-5-royal-1-more-edition,"1 More Edition includes:

Treasure Chest Box - Collector’s box to hold your palace’s treasure.
Le Grimoire Art Frame - Plastic art frame inspired by Justine’s Le Grimoire clipboard.
Phantom Thieves Art Prints - Set of 5”x7” glossy high-quality prints made to be displayed in the included Frame.
Akechi’s Briefcase Bag - Akechi’s signature briefcase made into a 15” bag with logo on the front.
Arcana Tarot Card Deck - 24-card tarot deck featuring artwork of the arcana in a branded box.
Persona 5 Royal SteelBook Case - SteelBook game case featuring Persona 5 Royal artwork.
Physical Persona 5 Royal Game - Copy of Persona 5 Royal with over 40 items of previously released DLC included.",,1757978553,https://www.igdb.com/games/persona-5-royal-1-more-edition,,bde64240-8a73-0087-2edb-fc2ff781d4f9,,0,,,,,114283.0,1 More Edition,,,,,,,,,,,,,,,,,,
343701,,467776.0,1747359538,,1694736000,[1],[10],Acko's Mach-Bike Race,[24],[3],[740524],"[1530864, 1530863]","[80382, 109292, 294712, 250049, 250038, 55192, 104983, 27553, 44178, 27378]",ackos-mach-bike-race,,"[268435466, 536872916]",1757387956,https://www.igdb.com/games/ackos-mach-bike-race,,4b4ba7bc-72f2-c6c6-268a-f8468a7583c4,[1242762],5,,[320474],[2004],,,,1517.0,,,,,,,,,,,,,,,,,
266874,[162307],330760.0,1694828903,"[2743400, 3004855]",1694736000,[1],"[9, 31, 32]",Chordosis,[6],[1],[516564],"[1145753, 1145755, 1145757, 1145758, 1145759, 1145760, 1145762, 1145770, 1145765, 1145754, 1145756, 1145761, 1145763, 1145764, 1145766, 1145767, 1145768, 1145769, 1145771, 1145772]","[27266, 25646, 25222, 11668, 18011, 111130, 26658, 28070, 56033, 120201]",chordosis,"Chordosis invites you to experience a unique cosmic survival sci-fi horror game centered around alien abductions. Immerse yourself in the small village of Dunahont, Hungary, and uncover its chilling mysteries.","[18, 19, 21, 268435465, 268435487, 268435488, 536870915, 536871162]",1756993378,https://www.igdb.com/games/chordosis,"[734545, 734546, 734547, 734548, 582394]",06f85186-997a-8f3e-b088-da167534c238,"[799435, 799436, 799437, 1225034]",0,,"[231446, 231447]","[3, 250]","[18, 19, 21]",,,,[140625],[439],"Take on the role of Sadie, determined to find her vanished twin sister. Ignored by the authorities, Sadie embarks on a dangerous journey to unravel the truth.",[98023],,,,,,,,,,,,,
264658,[116596],331477.0,1693824671,"[2738843, 2738057]",1694736000,[1],"[13, 15, 31, 32]",Gold Rush Clicker,[6],,[516435],"[1133498, 1133500, 1133503, 1133504, 1133506, 1133508]","[79134, 65827, 109339, 36269, 25311, 35994, 55590, 31515, 29348, 87975]",gold-rush-clicker,"Dive into ""Gold Rush Clicker,"" an idle clicker game where you start as a novice miner. Tap to mine gold, buy upgrades, and face strategic challenges. With procedurally generated levels, stunning graphics, and Steam achievements, it's an endless journey to become the ultimate mining tycoon!","[268435469, 268435471, 268435487, 268435488]",1756998749,https://www.igdb.com/games/gold-rush-clicker,"[578822, 582314]",7e633300-6783-6f3b-c8d9-f6d78c8c67bd,[788310],0,,[231381],,,,,,,,,,,,,,,,,,,,,,
254849,"[115749, 115748, 115747]",330066.0,1687856204,"[2717042, 2717055, 2717141, 2717455, 2717107, 2717108, 2742887, 2742533, 2736118, 2742559, 2739035]",1694736000,"[1, 2, 4]","[10, 14, 33]",NASCAR Arcade Rush,"[169, 48, 6, 167, 49, 130]",[2],"[515345, 516510, 516878, 516879, 516880, 516881, 516997, 516999]","[1126176, 1126177, 1126174, 1126175, 1126178, 1126179, 1126180, 1126181]","[27378, 116353, 120795, 114432, 87053, 116667, 113105, 118871, 15851, 90965]",nascar-arcade-rush,The NASCAR Beasts are Unleashed!,"[268435466, 268435470, 268435489]",1758681934,https://www.igdb.com/games/nascar-arcade-rush,"[582362, 759106, 759107, 579183, 579184]",adc2b174-1239-7ee0-7b44-8471eddf2dbb,"[783098, 783099, 783100, 783101, 783102, 783103, 789366, 789367, 789368, 789369, 789370, 789364, 789365]",0,"[152978, 152979, 150829, 151059, 152870, 152980]","[231407, 231408]",,,,,,,,,,,,,,,,,,,,,,
265393,[117101],330036.0,1694049911,"[2742926, 2739781, 2740036, 2742907, 2742897, 2742953]",1694736000,"[1, 2, 4]","[9, 26, 32]",Bright Side: Riddles & Puzzles,"[48, 6, 49, 130]",,"[517016, 519824, 512903, 516690]","[1137721, 1137729, 1137722, 1137723, 1137724, 1137725, 1137726, 1137727, 1137728, 1137730]","[119412, 27266, 26223, 25646, 25222, 81275, 19083, 11588, 103402, 106992]",bright-side-riddles-and-puzzles,Who is lying? Who will survive? Which way is safe? Watch unusual stories and solve tricky riddles with your friends or solo!,"[40, 268435465, 268435482, 268435488]",1760695305,https://www.igdb.com/games/bright-side-riddles-and-puzzles,"[771903, 771904, 579852, 582308]",e1dbdf00-79ef-5bee-ee1e-5467aa3c5739,"[791797, 791798]",0,"[153019, 153022, 152410, 153020, 153021, 153023]",[245465],,[40],,,,[140627],,,,,,,,,,,,,,,,
254843,[112583],330033.0,1687852564,"[2742565, 2717258, 2717453, 2717128, 2752477, 2754185, 2717126, 2719086, 2747246, 2855547, 2718986, 2718989, 2749366, 2742540, 2720189, 2720363, 2720380, 2743323, 2719033, 2743005, 2742888, 2730775, 2724419]",1694736000,"[1, 2, 3]","[7, 31]",Baby Shark: Sing & Swim Party,"[169, 48, 6, 167, 49, 130]",[2],"[515323, 515324, 517001, 517000, 518741, 518742]","[1097037, 1097038, 1097039, 1097040, 1097041, 1097042, 1097043, 1097044, 1097045, 1097046]","[63933, 114145, 6389, 108759, 103315, 77529, 299813, 292150, 245635, 191409]",baby-shark-sing-and-swim-party,Swim across the wide ocean with the Shark Family to enjoy the Fin-tastic Festival. Choose from five customizable characters and play either in the runner or rhythmic game mode. Sing and swim to fin-omenal songs and get rewarded with tons of musical cards to add to your album.,"[35, 40, 268435463, 268435487, 536875054]",1760594259,https://www.igdb.com/games/baby-shark-sing-and-swim-party,"[567929, 758600, 758602]",f30b20de-a015-5676-f114-10eb4d4f02f7,"[800816, 734427, 734428, 734430, 734381, 734382, 734383, 734384, 734385, 734386, 734387, 734388, 734389, 734390, 734391, 734392, 734393, 734394, 734395, 734396, 734397, 734398, 734399, 734400, 734401, 734402, 734403, 734404, 734405, 734406, 734407, 734408, 734409, 734410, 734411, 734412, 734413, 734414, 734415, 734416, 734417, 734418, 734419, 734420, 734421, 734422, 734423, 734424, 734429, 734431, 734425, 734426, 749509, 799391, 799392]",0,"[149263, 152983, 149071, 152868, 152981, 152982]","[231575, 231576]",[4142],"[35, 40]",,,,,,,"[98060, 98061]",[29974],,,,,,,,,,,,
267329,[118318],331292.0,1695108182,"[2743876, 2859160, 2743362]",1694736000,[1],"[8, 31, 32]",Shadow King,"[82, 3, 6, 14]",[4],"[517218, 517219, 517220]","[1182619, 1182620, 1182622, 1182623, 1182624]","[96217, 24426, 28070, 106987, 29032, 113360, 19150, 3222, 36198, 20342]",shadow-king,"The Shadow King has invaded the castle belonging to the Knights of Valor and they need your help to get it back! Explore the massive castle in this metroidvania and help the fallen knights back to their former glory! Upgrade your moves and weapons along the way as you fight minions, defeat bosses, find secrets, and unravel what has happened.","[1, 17, 268435464, 268435487, 268435488, 536871038, 536871200, 536871389, 536872617, 536894660, 536896224]",1760451633,https://www.igdb.com/games/shadow-king,"[583017, 792728, 792729, 594006]",047cf142-c5cb-a190-01ff-2140132d7aab,[801421],0,,[239491],"[126, 288, 477, 1705, 23748]","[1, 17]",,,,,[829],,[98149],,,,,,,,,,,,,
261491,[115453],330039.0,1692054388,"[2734613, 2731846]",1694736000,[1],"[8, 31, 32]",Catch Up,[6],[4],[503480],[1115767],"[96217, 24426, 106987, 28070, 19164, 113360, 19150, 36198, 20342, 55173]",catch-up,"Welcome to the enchanting world of ""Catch Up""! Get ready to embark on an exciting precision platforming adventure like you've never seen before! Join an epic journey with a brave cat where skill and precision will be your best allies.","[1, 17, 27, 268435464, 268435487, 268435488, 536871043, 536871482, 536896743, 536908792]",1761056651,https://www.igdb.com/games/catch-up,"[573537, 573526, 580732]",5c6f88f3-f668-41bc-4614-f014924a1aa3,"[750118, 750119, 750120, 750121, 750122, 750123, 750124, 750125, 750126, 750127, 750128, 750129, 750130]",0,[175177],[230625],"[131, 570, 25831, 37880]","[1, 17, 27]",,,,,[13],"""Catch Up"" is a challenging 2D game with high-quality pixelated graphics that will transport you to three unique and stunning biomes. Explore vibrant and detailed landscapes, from lush forests to Dark Places and Ancient Ruins.
Your mission is to help our courageous feline find the way back home. However, it won't be an easy task! Face cleverly designed obstacles in every corner of the biomes. Enjoy the evolution of your movements and jumps, improving your skills throughout the journey.

The original soundtrack will immerse you even further into this captivating world. Each melody has been carefully composed to accompany your journey, creating an engaging and thrilling atmosphere.

Challenge yourself to push the platforming boundaries in ""Catch Up""! Prepare for a unique gaming experience where precision and dexterity are essential for success. Master the control of our adorable feline protagonist and pave the way back home in this immersive and addictive game.

Accept the challenge and prove your skills in ""Catch Up"" - a game that will test your reflexes, patience, and determination, all within a charming pixelated universe.

Are you ready to help this little kitten get back home? The fate of our cat is in your hands!",[95764],,,,,,,,,,,,,
250953,[108650],348444.0,1685068713,"[2707121, 2706678]",1694736000,[1],[32],Dungeons & Keyboards,"[6, 14]",,"[538424, 538425]","[1058984, 1058987, 1058990, 1058994, 1058997, 1059000]","[113895, 105233, 111130, 32902, 119121, 40524, 96217, 106987, 37419, 28309]",dungeons-and-keyboards,"Ready your typing skills and defeat the quirky enemies of the Tower of Verbum. Collect coins, relics, and experience to buy items, assign stats and unlock permanent upgrades. How far will your typing skills take you?","[1, 268435488]",1759493240,https://www.igdb.com/games/dungeons-and-keyboards,"[598412, 553846, 553847, 598413]",f1f7963f-660a-bd61-c10b-9edf98626786,"[700022, 700023]",0,,,,[1],,,,,[456],,,,,,,,,,,,,,,
199703,[75549],416405.0,1651516964,[2434733],1694736000,[1],[32],Furry Shades of Gay 3: Still Gayer,[6],,[689039],"[786281, 786283, 786284, 786285]","[28465, 67166, 22472, 41895, 115735, 22425, 75900, 22426, 75797, 43097]",furry-shades-of-gay-3-still-gayer,"Furry Shades of Gay 3 gets even steamier and funnier with new stories, new characters and new features! Go through all the branches and see new, longer animations with more varied poses, and for the first time in the series, voice acting!","[42, 268435488, 536871255, 536872873, 536874498, 536887985]",1757041444,https://www.igdb.com/games/furry-shades-of-gay-3-still-gayer,"[814066, 814067, 814068, 814069, 814070, 280335]",ba8dbc63-a893-6295-6bfd-d5f473687acd,"[310950, 310954, 310953, 310940, 310942, 310944, 310946, 310948, 310952]",0,,[302740],"[343, 1961, 3586, 17073]",[42],,,,,,"Furry Shades of Gay 3 is a collection of hot novels with choice and match-3 elements! You'll find new stories, new (and old!) characters, and a new, more diverse match-3 experience. Go through all the stories, uncover all the plot options, and unlock 15 hot voiced animations!",,,[11075],,,,,,,,,,,
